                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r24.08.1"                               "gfortran"                                 "13.3.0"                    "x86_64-linux-24.7.1"                                 "CRMATH"                               "20260422"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                             log_center_T                           log_center_Rho                             log_center_P                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                      917                  2.5033318392346294E+002                  2.3985184230785070E+000                  1.1002503331839237E+000                  3.3339997419111143E+001                 -6.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.6344764330498016E+000                  4.0577613247128088E+000                 -1.7174190428787020E+000                  7.9143972218110097E+000                  0.0000000000000000E+000                  8.3750713913053314E+000                  7.5102606950825335E+000                  2.4648420520144722E+001                  1.8046623058353362E+000                  4.9871304347826095E-001                  1.8048180795689362E+001                  2.0000000000000000E-099                  2.0000000000000000E-099                  0.0000000000000000E+000                  5.0000000000000000E-001                  0.0000000000000000E+000                  5.0000000000000000E-001                  2.2000000000000005E-099                  2.2000000000000005E-099                                        0                                        4 
                                       5                                      447                  1.4992674227967759E+003                  2.5063706884770927E+000                  1.1014992674227970E+000                  3.3340490123010106E+001                 -6.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.6547438321385162E+000                  3.9520939192208910E+000                 -1.8107875438020899E+000                  8.1016269275567474E+000                  0.0000000000000000E+000                  8.3364810512452703E+000                  7.5972753468011653E+000                  2.4769311199488939E+001                  1.8046623058353359E+000                  4.9871304347826101E-001                  1.8048180795689358E+001                  2.0000000000000000E-099                  2.0000000000000000E-099                  0.0000000000000000E+000                  5.0000000000000000E-001                  0.0000000000000000E+000                  5.0000000000000000E-001                  2.2010646051294604E-099                  2.2010646051294604E-099                                        0                                        4 
                                      10                                      444                  3.5354613595886112E+003                  2.6869716256553513E+000                  1.1035354613595889E+000                  3.3341292203839622E+001                 -6.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.6534650210172517E+000                  3.7414336814288389E+000                 -1.9135600404555875E+000                  8.3079740016932622E+000                  0.0000000000000000E+000                  8.2915906468888849E+000                  7.6846173915676932E+000                  2.4890219310769130E+001                  1.8046623058353359E+000                  4.9871304347826095E-001                  1.8048180795689358E+001                  2.0000000000000004E-099                  2.0000000000000004E-099                  0.0000000000000000E+000                  5.0000000000000000E-001                  0.0000000000000000E+000                  5.0000000000000000E-001                  2.2029433797920121E-099                  2.2029433797920121E-099                                        0                                        4 
                                      15                                      437                  7.1930258603274033E+003                  2.9829044184989200E+000                  1.1071930258603278E+000                  3.3342729251888166E+001                 -6.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.6251824677842457E+000                  3.4543123627333969E+000                 -2.0005555933372960E+000                  8.4834021555052246E+000                  0.0000000000000000E+000                  8.2430366759950378E+000                  7.7619701470862417E+000                  2.4996933820971762E+001                  1.8046623058353359E+000                  4.9871304347826095E-001                  1.8048180795689362E+001                  2.0000000000000004E-099                  2.0000000000000004E-099                  0.0000000000000000E+000                  5.0000000000000000E-001                  0.0000000000000000E+000                  5.0000000000000000E-001                  2.2057098086345554E-099                  2.2057098086345554E-099                                        0                                        4 
                                      20                                      432                  1.4365093356894011E+004                  3.2968288141375233E+000                  1.1143650933568943E+000                  3.3345533410043700E+001                 -6.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.5823688455612279E+000                  3.1547503781666508E+000                 -2.0647093411746331E+000                  8.6145138093354330E+000                  0.0000000000000000E+000                  8.1968767270334943E+000                  7.8307022777079265E+000                  2.5091522046474743E+001                  1.8046623058353359E+000                  4.9871304347826095E-001                  1.8048180795689362E+001                  2.0000000000000004E-099                  2.0000000000000004E-099                  0.0000000000000000E+000                  5.0000000000000000E-001                  0.0000000000000000E+000                  5.0000000000000000E-001                  2.2099853332830965E-099                  2.2099853332830965E-099                                        0                                        5 
                                      25                                      434                  3.2052997759361177E+004                  3.6927350443756475E+000                  1.1320529977593614E+000                  3.3352372669452912E+001                 -6.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.5405637835948713E+000                  2.8784574142299371E+000                 -2.1192456992102779E+000                  8.7304257848159299E+000                  0.0000000000000000E+000                  8.1580823561711231E+000                  7.9217316248176859E+000                  2.5216604569881177E+001                  1.8046623058353359E+000                  4.9871304347826095E-001                  1.8048180795689362E+001                  2.0000000000000000E-099                  2.0000000000000000E-099                  0.0000000000000000E+000                  5.0000000000000000E-001                  0.0000000000000000E+000                  5.0000000000000000E-001                  2.2252671973043724E-099                  2.2252671973043724E-099                                        0                                        4 
                                      30                                      428                  7.5455788832943785E+004                  4.0664706422002963E+000                  1.1754557888329440E+000                  3.3368712209472861E+001                 -6.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.5355941592768758E+000                  2.7355014873702812E+000                 -2.1807844140041146E+000                  8.8698427544235550E+000                  0.0000000000000000E+000                  8.1533222564699361E+000                  8.1023351154455252E+000                  2.5463964585481722E+001                  1.8046623058353359E+000                  4.9871304347826095E-001                  1.8048180795689362E+001                  2.0000000000000000E-099                  2.0000000000000000E-099                  0.0000000000000000E+000                  5.0000000000000000E-001                  0.0000000000000000E+000                  5.0000000000000000E-001                  2.2551118403205645E-099                  2.2551118403205645E-099                                        0                                        4 
                                      35                                      437                  1.3583303465100666E+005                  4.0445244884591833E+000                  1.2358330346510069E+000                  3.3390465710378969E+001                 -6.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.5700473238147525E+000                  2.7191027539708852E+000                 -2.2578901097795656E+000                  9.0458076468805650E+000                  0.0000000000000000E+000                  8.1968434352053201E+000                  8.3815119774822033E+000                  2.5843880524925272E+001                  1.8046623058353359E+000                  4.9871304347826101E-001                  1.8048180795689362E+001                  2.0000000000000000E-099                  2.0000000000000000E-099                  0.0000000000000000E+000                  5.0000000000000000E-001                  0.0000000000000000E+000                  5.0000000000000000E-001                  2.3178061147176304E-099                  2.3178061147176304E-099                                        0                                        4 
                                      40                                      431                  1.8397557419107785E+005                  3.9330012196729758E+000                  1.2839755741910781E+000                  3.3407062672337325E+001                 -6.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.6107002738352802E+000                  2.7307310882465599E+000                 -2.3333818426827837E+000                  9.2133880746453567E+000                  0.0000000000000000E+000                  8.2543327702420619E+000                  8.6614416198168236E+000                  2.6222402170251332E+001                  1.8046623058353359E+000                  4.9871304347826095E-001                  1.8048180795689362E+001                  2.0000000000000000E-099                  2.0000000000000000E-099                  0.0000000000000000E+000                  5.0000000000000000E-001                  0.0000000000000000E+000                  5.0000000000000000E-001                  2.3653589520217536E-099                  2.3653589520217536E-099                                        0                                        4 
                                      45                                      436                  2.1909620851248683E+005                  3.7868271583342792E+000                  1.3190962085124871E+000                  3.3418782382406150E+001                 -6.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.6529458635059191E+000                  2.7566190189350581E+000                 -2.4049290566798125E+000                  9.3682022127082352E+000                  0.0000000000000000E+000                  8.3133358592677489E+000                  8.9265008099790428E+000                  2.6579215717830579E+001                  1.8046623058353362E+000                  4.9871304347826095E-001                  1.8048180795689362E+001                  2.0000000000000000E-099                  2.0000000000000000E-099                  0.0000000000000000E+000                  5.0000000000000000E-001                  0.0000000000000000E+000                  5.0000000000000000E-001                  2.4030018560208153E-099                  2.4030018560208153E-099                                        0                                        3 
                                      50                                      440                  2.3999128341306603E+005                  2.6320953897988950E+000                  1.3399912834130663E+000                  3.3425607883667325E+001                 -6.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.6853875410057215E+000                  2.7744301550935915E+000                 -2.4609068436001507E+000                  9.4869832878100926E+000                  0.0000000000000000E+000                  7.9964408502154347E+000                  9.1297882806478761E+000                  2.6850923421642602E+001                  1.8059631352513419E+000                  4.9831391242238321E-001                  1.8048180795689358E+001                  9.0217222237730841E-026                  8.2873518164456011E-032                  0.0000000000000000E+000                  4.9999999999999994E-001                  0.0000000000000000E+000                  5.0000000000000000E-001                  1.9708475878679232E-025                  2.9907338425904571E-032                                        3                                        7 
                                      55                                      459                  2.4129435709482510E+005                  2.3133366271744822E+000                  1.3412943570948250E+000                  3.3426030007849477E+001                 -6.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.6891459036923129E+000                  2.7817318560308038E+000                 -2.4647727185047277E+000                  9.4951371618013969E+000                  0.0000000000000000E+000                  7.9908276318479725E+000                  9.1445657880879541E+000                  2.6870730635971181E+001                  1.8059659686170106E+000                  4.9831304369365376E-001                  1.8048180795689362E+001                  4.5372390119158401E-026                  8.2873518164460346E-032                  0.0000000000000000E+000                  5.0000000000000000E-001                  0.0000000000000000E+000                  5.0000000000000000E-001                  3.6890409842377775E-025                  3.7846441978753718E-032                                        4                                        5 
                                      60                                      457                  2.4261970647825970E+005                  2.3290316157010000E+000                  1.3426197064782599E+000                  3.3426458927671028E+001                 -6.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.6926837188041848E+000                  2.7876813231270958E+000                 -2.4688736151803243E+000                  9.5037678749741428E+000                  0.0000000000000000E+000                  7.9886255243978512E+000                  9.1601667523938914E+000                  2.6891644952327777E+001                  1.8059659693192287E+000                  4.9831304347834932E-001                  1.8048180795689362E+001                  4.5372390119158401E-026                  8.2873518164467692E-032                  0.0000000000000000E+000                  5.0000000000000011E-001                  0.0000000000000000E+000                  5.0000000000000000E-001                  1.3633169326053124E-024                  4.8338518904903781E-032                                        5                                        5 
