                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r24.08.1"                               "gfortran"                                 "13.3.0"                    "x86_64-linux-24.7.1"                                 "CRMATH"                               "20260406"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                             log_center_T                           log_center_Rho                             log_center_P                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                      917                  2.5033318392346294E+002                  2.3985184230785070E+000                  1.1002503331839237E+000                  3.3339997419111143E+001                 -6.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.6369907572076281E+000                  4.0621007150705477E+000                 -1.7202779960154861E+000                  7.9201151280845776E+000                  0.0000000000000000E+000                  8.3802288849565567E+000                  7.5221279783421391E+000                  2.4664000068552014E+001                  1.8039569403321629E+000                  4.9891304347826099E-001                  1.8042753481074719E+001                  2.0000000000000000E-099                  2.0000000000000000E-099                  0.0000000000000000E+000                  5.0000000000000000E-001                  0.0000000000000000E+000                  5.0000000000000000E-001                  2.2000000000000005E-099                  2.2000000000000005E-099                                        0                                        4 
                                       5                                      446                  1.4750010012117532E+003                  2.4981340568966117E+000                  1.1014750010012120E+000                  3.3340480555242436E+001                 -6.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.6587653490405065E+000                  3.9593246462651313E+000                 -1.8152152140839517E+000                  8.1104727003528012E+000                  0.0000000000000000E+000                  8.3400604173212951E+000                  7.6125731635273928E+000                  2.4789582492235816E+001                  1.8039569403321629E+000                  4.9891304347826099E-001                  1.8042753481074719E+001                  2.0000000000000000E-099                  2.0000000000000000E-099                  0.0000000000000000E+000                  5.0000000000000000E-001                  0.0000000000000000E+000                  5.0000000000000000E-001                  2.2009827091328326E-099                  2.2009827091328326E-099                                        0                                        4 
                                      10                                      443                  3.3946731091626111E+003                  2.6568745982711057E+000                  1.1033946731091631E+000                  3.3341236793331241E+001                 -6.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.6575797515556561E+000                  3.7507200469418445E+000                 -1.9171463187758921E+000                  8.3150911478254859E+000                  0.0000000000000000E+000                  8.2953244217333335E+000                  7.6986785709436827E+000                  2.4908703960610733E+001                  1.8039569403321631E+000                  4.9891304347826099E-001                  1.8042753481074719E+001                  2.0000000000000004E-099                  2.0000000000000004E-099                  0.0000000000000000E+000                  5.0000000000000000E-001                  0.0000000000000000E+000                  5.0000000000000000E-001                  2.2025533894509558E-099                  2.2025533894509558E-099                                        0                                        4 
                                      15                                      436                  6.7639549737115922E+003                  2.9441950279859981E+000                  1.1067639549737118E+000                  3.3342560916981618E+001                 -6.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.6286583373262662E+000                  3.4633623864732597E+000                 -2.0029823205514066E+000                  8.4880872750268974E+000                  0.0000000000000000E+000                  8.2477921592236765E+000                  7.7737839828712589E+000                  2.5012264196383537E+001                  1.8039569403321629E+000                  4.9891304347826099E-001                  1.8042753481074719E+001                  2.0000000000000000E-099                  2.0000000000000000E-099                  0.0000000000000000E+000                  5.0000000000000000E-001                  0.0000000000000000E+000                  5.0000000000000000E-001                  2.2047381718863985E-099                  2.2047381718863985E-099                                        0                                        4 
                                      20                                      430                  1.4339874664244175E+004                  3.3228991769019629E+000                  1.1143398746642443E+000                  3.3345523581610408E+001                 -6.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.5773000194518252E+000                  3.1180096332270186E+000                 -2.0729420614256444E+000                  8.6309694214041581E+000                  0.0000000000000000E+000                  8.1975047268526229E+000                  7.8475314882334608E+000                  2.5113699431987254E+001                  1.8039569403321629E+000                  4.9891304347826099E-001                  1.8042753481074719E+001                  2.0000000000000000E-099                  2.0000000000000000E-099                  0.0000000000000000E+000                  5.0000000000000000E-001                  0.0000000000000000E+000                  5.0000000000000000E-001                  2.2119406285377280E-099                  2.2119406285377280E-099                                        0                                        5 
                                      25                                      426                  3.3122086961653091E+004                  3.7188054071400867E+000                  1.1331220869616534E+000                  3.3352782615314332E+001                 -6.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.5288287021021718E+000                  2.8118676057476506E+000                 -2.1290704404660215E+000                  8.7504852131888420E+000                  0.0000000000000000E+000                  8.1583983593294569E+000                  7.9430135628834257E+000                  2.5244826757355828E+001                  1.8039569403321631E+000                  4.9891304347826099E-001                  1.8042753481074719E+001                  2.0000000000000000E-099                  2.0000000000000000E-099                  0.0000000000000000E+000                  5.0000000000000000E-001                  0.0000000000000000E+000                  5.0000000000000000E-001                  2.2255708553518347E-099                  2.2255708553518347E-099                                        0                                        4 
                                      30                                      427                  7.8616695246854943E+004                  4.0783658916854879E+000                  1.1786166952468551E+000                  3.3369878498996798E+001                 -6.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.5284658143953882E+000                  2.6858103184010425E+000                 -2.1913733087257588E+000                  8.8921868333907792E+000                  0.0000000000000000E+000                  8.1573967483936052E+000                  8.1341922647969369E+000                  2.5506472340461130E+001                  1.8039569403321631E+000                  4.9891304347826099E-001                  1.8042753481074719E+001                  2.0000000000000000E-099                  2.0000000000000000E-099                  0.0000000000000000E+000                  5.0000000000000000E-001                  0.0000000000000000E+000                  5.0000000000000000E-001                  2.2646159947024070E-099                  2.2646159947024070E-099                                        0                                        4 
                                      35                                      428                  1.4472581005013670E+005                  4.1147425855685968E+000                  1.2447258100501368E+000                  3.3393579605329194E+001                 -6.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.5708142865578063E+000                  2.6821642719510441E+000                 -2.2778932762755932E+000                  9.0889278748228453E+000                  0.0000000000000000E+000                  8.2104812842654074E+000                  8.4521390308990565E+000                  2.5938609057148120E+001                  1.8039569403321629E+000                  4.9891304347826099E-001                  1.8042753481074719E+001                  2.0000000000000000E-099                  2.0000000000000000E-099                  0.0000000000000000E+000                  5.0000000000000000E-001                  0.0000000000000000E+000                  5.0000000000000000E-001                  2.3208213054727069E-099                  2.3208213054727069E-099                                        0                                        4 
                                      40                                      431                  2.0070489432146080E+005                  3.9931650724720327E+000                  1.3007048943214610E+000                  3.3412684684781183E+001                 -6.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.6229098221234821E+000                  2.6951878903260504E+000                 -2.3755725382194424E+000                  9.3033914781625278E+000                  0.0000000000000000E+000                  8.2873632356649676E+000                  8.8129418394119323E+000                  2.6425547897902089E+001                  1.8039569403321629E+000                  4.9891304347826099E-001                  1.8042753481074719E+001                  2.0000000000000000E-099                  2.0000000000000000E-099                  0.0000000000000000E+000                  5.0000000000000000E-001                  0.0000000000000000E+000                  5.0000000000000000E-001                  2.3833845279328783E-099                  2.3833845279328783E-099                                        0                                        4 
