                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r24.08.1"                               "gfortran"                                 "13.3.0"                    "x86_64-linux-24.7.1"                                 "CRMATH"                               "20260406"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                             log_center_T                           log_center_Rho                             log_center_P                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                      922                  2.6188990635724883E+002                  2.4181187603655769E+000                  1.1002618899063574E+000                  3.3340001980795215E+001                 -6.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.6376029925396809E+000                  4.0197057779156555E+000                 -1.7426999352570374E+000                  7.9649635682517550E+000                  0.0000000000000000E+000                  8.3676006020455436E+000                  7.5262789275143556E+000                  2.4671011170292953E+001                  1.7991004497751122E+000                  5.0000000000000000E-001                  1.7910447761194032E+001                  2.0000000000000000E-099                  2.0000000000000000E-099                  0.0000000000000000E+000                  5.0000000000000000E-001                  0.0000000000000000E+000                  5.0000000000000000E-001                  2.1999922389612961E-099                  2.1999922389612961E-099                                        0                                        4 
                                       5                                      451                  1.5934554482175324E+003                  2.5482213545683958E+000                  1.1015934554482179E+000                  3.3340527257479572E+001                 -6.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.6543169773067756E+000                  3.9063022047884099E+000                 -1.8328296913548501E+000                  8.1457483571317368E+000                  0.0000000000000000E+000                  8.3282998327025908E+000                  7.6113153439858312E+000                  2.4789079846352834E+001                  1.7991004497751122E+000                  5.0000000000000000E-001                  1.7910447761194032E+001                  2.0000000000000000E-099                  2.0000000000000000E-099                  0.0000000000000000E+000                  5.0000000000000000E-001                  0.0000000000000000E+000                  5.0000000000000000E-001                  2.2010362663597354E-099                  2.2010362663597354E-099                                        0                                        4 
                                      10                                      443                  3.8368317582818504E+003                  2.7330691380906766E+000                  1.1038368317582821E+000                  3.3341410791449320E+001                 -6.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.6477033231222400E+000                  3.6826032827157698E+000                 -1.9314518440220987E+000                  8.3438761964359802E+000                  0.0000000000000000E+000                  8.2823454672537480E+000                  7.6960339974265075E+000                  2.4906292144341126E+001                  1.7991004497751126E+000                  5.0000000000000000E-001                  1.7910447761194032E+001                  2.0000000000000004E-099                  2.0000000000000004E-099                  0.0000000000000000E+000                  5.0000000000000000E-001                  0.0000000000000000E+000                  5.0000000000000000E-001                  2.2027658462671072E-099                  2.2027658462671072E-099                                        0                                        4 
                                      15                                      434                  7.9775761752560147E+003                  3.0405279103807668E+000                  1.1079775761752562E+000                  3.3343036881365087E+001                 -6.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.6140493463956842E+000                  3.3830351560710215E+000                 -2.0139279538913613E+000                  8.5104545060902748E+000                  0.0000000000000000E+000                  8.2334076111724599E+000                  7.7709458404335887E+000                  2.5009600811375307E+001                  1.7991004497751126E+000                  5.0000000000000000E-001                  1.7910447761194028E+001                  2.0000000000000004E-099                  2.0000000000000004E-099                  0.0000000000000000E+000                  5.0000000000000000E-001                  0.0000000000000000E+000                  5.0000000000000000E-001                  2.2065688100919789E-099                  2.2065688100919789E-099                                        0                                        4 
                                      20                                      435                  1.7581674258012485E+004                  3.4270256700871866E+000                  1.1175816742580127E+000                  3.3346785182105059E+001                 -6.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.5611222108378211E+000                  3.0376853981362557E+000                 -2.0807485617430181E+000                  8.6478440225335600E+000                  0.0000000000000000E+000                  8.1837946549891871E+000                  7.8475510920283371E+000                  2.5115002592497824E+001                  1.7991004497751126E+000                  5.0000000000000000E-001                  1.7910447761194032E+001                  2.0000000000000000E-099                  2.0000000000000000E-099                  0.0000000000000000E+000                  5.0000000000000000E-001                  0.0000000000000000E+000                  5.0000000000000000E-001                  2.2148279302218001E-099                  2.2148279302218001E-099                                        0                                        5 
                                      25                                      431                  4.1452818570261537E+004                  3.8229319003253108E+000                  1.1414528185702617E+000                  3.3355963875194313E+001                 -6.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.5208864080391411E+000                  2.7660588289258565E+000                 -2.1360902407508577E+000                  8.7677060736384931E+000                  0.0000000000000000E+000                  8.1504746154530636E+000                  7.9573205455535376E+000                  2.5265778411147856E+001                  1.7991004497751122E+000                  5.0000000000000000E-001                  1.7910447761194028E+001                  2.0000000000000000E-099                  2.0000000000000000E-099                  0.0000000000000000E+000                  5.0000000000000000E-001                  0.0000000000000000E+000                  5.0000000000000000E-001                  2.2339884663348141E-099                  2.2339884663348141E-099                                        0                                        4 
                                      30                                      431                  9.5679360935131423E+004                  4.1202454155530237E+000                  1.1956793609351315E+000                  3.3376120643151779E+001                 -6.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.5343198356051309E+000                  2.6827620592855514E+000                 -2.2046054807029885E+000                  8.9248933215002175E+000                  0.0000000000000000E+000                  8.1629124337967998E+000                  8.1841740659385920E+000                  2.5575976592855611E+001                  1.7991004497751126E+000                  5.0000000000000000E-001                  1.7910447761194032E+001                  2.0000000000000000E-099                  2.0000000000000000E-099                  0.0000000000000000E+000                  5.0000000000000000E-001                  0.0000000000000000E+000                  5.0000000000000000E-001                  2.2787106039653500E-099                  2.2787106039653500E-099                                        0                                        4 
                                      35                                      430                  1.6235393046190654E+005                  4.1014775914256889E+000                  1.2623539304619069E+000                  3.3399687046961702E+001                 -6.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.5802869522359435E+000                  2.6857468579824788E+000                 -2.2950473146161516E+000                  9.1293433931364714E+000                  0.0000000000000000E+000                  8.2240083694700683E+000                  8.5183692550038046E+000                  2.6029553254767936E+001                  1.7991004497751126E+000                  5.0000000000000000E-001                  1.7910447761194032E+001                  2.0000000000000004E-099                  2.0000000000000004E-099                  0.0000000000000000E+000                  5.0000000000000000E-001                  0.0000000000000000E+000                  5.0000000000000000E-001                  2.3473873644508605E-099                  2.3473873644508605E-099                                        0                                        4 
                                      40                                      434                  2.1551557824243404E+005                  3.9653224921726431E+000                  1.3155155782424341E+000                  3.3417601905697381E+001                 -6.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.6332904876900454E+000                  2.6996369688514990E+000                 -2.3941093300898446E+000                  9.3453822828195321E+000                  0.0000000000000000E+000                  8.3033592855252927E+000                  8.8829982719329816E+000                  2.6521105075352075E+001                  1.7991004497751122E+000                  5.0000000000000000E-001                  1.7910447761194032E+001                  2.0000000000000000E-099                  2.0000000000000000E-099                  0.0000000000000000E+000                  5.0000000000000000E-001                  0.0000000000000000E+000                  5.0000000000000000E-001                  2.4061621976162506E-099                  2.4061621976162506E-099                                        0                                        4 
