                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r24.08.1"                               "gfortran"                                 "13.3.0"                    "x86_64-linux-24.7.1"                                 "CRMATH"                               "20260406"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                             log_center_T                           log_center_Rho                             log_center_P                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                      917                  2.5189413242489880E+002                  2.4012180512409964E+000                  1.1002518941324251E+000                  3.3339998035253501E+001                 -6.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.6418304782964031E+000                  4.0361377068822835E+000                 -1.7429389422871675E+000                  7.9654376367703028E+000                  0.0000000000000000E+000                  8.3709633646433073E+000                  7.5405841128790803E+000                  2.4689760864762903E+001                  1.8023312763248118E+000                  4.9891304347826082E-001                  1.7881438289601558E+001                  2.0000000000000000E-099                  2.0000000000000000E-099                  0.0000000000000000E+000                  5.0000000000000000E-001                  0.0000000000000000E+000                  5.0000000000000000E-001                  2.1999913385021022E-099                  2.1999913385021022E-099                                        0                                        4 
                                       5                                      446                  1.5200903490205401E+003                  2.5244628646293648E+000                  1.1015200903490208E+000                  3.3340498332907963E+001                 -6.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.6591228003225060E+000                  3.9229005213946455E+000                 -1.8341421790831922E+000                  8.1483444080168130E+000                  0.0000000000000000E+000                  8.3321122750424674E+000                  7.6258842817729544E+000                  2.4808119300656482E+001                  1.8023312763248112E+000                  4.9891304347826093E-001                  1.7881438289601551E+001                  2.0000000000000004E-099                  2.0000000000000004E-099                  0.0000000000000000E+000                  5.0000000000000000E-001                  0.0000000000000000E+000                  5.0000000000000000E-001                  2.2010906907583121E-099                  2.2010906907583121E-099                                        0                                        4 
                                      10                                      440                  3.6352656950402811E+003                  2.7069952812814306E+000                  1.1036352656950403E+000                  3.3341331479888055E+001                 -6.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.6530146457479189E+000                  3.7002833557862838E+000                 -1.9332344527381990E+000                  8.3473621023069153E+000                  0.0000000000000000E+000                  8.2868150148745912E+000                  7.7101246762726339E+000                  2.4924596119928868E+001                  1.8023312763248112E+000                  4.9891304347826093E-001                  1.7881438289601551E+001                  2.0000000000000000E-099                  2.0000000000000000E-099                  0.0000000000000000E+000                  5.0000000000000000E-001                  0.0000000000000000E+000                  5.0000000000000000E-001                  2.2028441054802002E-099                  2.2028441054802002E-099                                        0                                        4 
                                      15                                      431                  7.5305298329802017E+003                  3.0136670416447755E+000                  1.1075305298329803E+000                  3.3342861617043809E+001                 -6.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.6196651675612319E+000                  3.4008978771588874E+000                 -2.0162282356785224E+000                  8.5148798053433197E+000                  0.0000000000000000E+000                  8.2382693326010266E+000                  7.7846981479979389E+000                  2.5027376161198386E+001                  1.8023312763248109E+000                  4.9891304347826093E-001                  1.7881438289601551E+001                  2.0000000000000000E-099                  2.0000000000000000E-099                  0.0000000000000000E+000                  5.0000000000000000E-001                  0.0000000000000000E+000                  5.0000000000000000E-001                  2.2058508206886195E-099                  2.2058508206886195E-099                                        0                                        4 
                                      20                                      433                  1.6556585752407504E+004                  3.4000097747840075E+000                  1.1165565857524073E+000                  3.3346386647850800E+001                 -6.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.5665442380354682E+000                  3.0541357416619515E+000                 -2.0833674443754635E+000                  8.6526832535441862E+000                  0.0000000000000000E+000                  8.1885425085842982E+000                  7.8603181861904501E+000                  2.5131360225496032E+001                  1.8023312763248112E+000                  4.9891304347826093E-001                  1.7881438289601551E+001                  2.0000000000000000E-099                  2.0000000000000000E-099                  0.0000000000000000E+000                  5.0000000000000000E-001                  0.0000000000000000E+000                  5.0000000000000000E-001                  2.2116596932581024E-099                  2.2116596932581024E-099                                        0                                        5 
                                      25                                      427                  3.8988035499931488E+004                  3.7959160050221317E+000                  1.1389880354999313E+000                  3.3355025072417249E+001                 -6.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.5235507540950657E+000                  2.7716982885890249E+000                 -2.1385992030311209E+000                  8.7717851954219555E+000                  0.0000000000000000E+000                  8.1541523831977383E+000                  7.9664144610923131E+000                  2.5277019447320068E+001                  1.8023312763248109E+000                  4.9891304347826093E-001                  1.7881438289601551E+001                  2.0000000000000000E-099                  2.0000000000000000E-099                  0.0000000000000000E+000                  5.0000000000000000E-001                  0.0000000000000000E+000                  5.0000000000000000E-001                  2.2286623634046179E-099                  2.2286623634046179E-099                                        0                                        4 
                                      30                                      427                  9.0800438729220972E+004                  4.1086473657622706E+000                  1.1908004387292208E+000                  3.3374344896343459E+001                 -6.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.5347935539732855E+000                  2.6828168116308873E+000                 -2.2055255412666313E+000                  8.9249576958191810E+000                  0.0000000000000000E+000                  8.1640280202838476E+000                  8.1856371808379951E+000                  2.5576726923514606E+001                  1.8023312763248112E+000                  4.9891304347826093E-001                  1.7881438289601551E+001                  2.0000000000000000E-099                  2.0000000000000000E-099                  0.0000000000000000E+000                  5.0000000000000000E-001                  0.0000000000000000E+000                  5.0000000000000000E-001                  2.2720236439276062E-099                  2.2720236439276062E-099                                        0                                        4 
                                      35                                      430                  1.5674334093728272E+005                  4.0975402980240414E+000                  1.2567433409372823E+000                  3.3397752503085641E+001                 -6.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.5798218763707563E+000                  2.6828404105623687E+000                 -2.2955703865958306E+000                  9.1284549932197692E+000                  0.0000000000000000E+000                  8.2240476539349192E+000                  8.5176370003855943E+000                  2.6027325327080899E+001                  1.8023312763248112E+000                  4.9891304347826093E-001                  1.7881438289601551E+001                  2.0000000000000000E-099                  2.0000000000000000E-099                  0.0000000000000000E+000                  5.0000000000000000E-001                  0.0000000000000000E+000                  5.0000000000000000E-001                  2.3430373554717988E-099                  2.3430373554717988E-099                                        0                                        4 
                                      40                                      432                  2.0968778874633554E+005                  3.9660791270468394E+000                  1.3096877887463354E+000                  3.3415673688623343E+001                 -6.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.6336133912837445E+000                  2.7008158352785658E+000                 -2.3941657040637092E+000                  9.3435668136932293E+000                  0.0000000000000000E+000                  8.3030749940677069E+000                  8.8814607497966129E+000                  2.6517805850064679E+001                  1.8023312763248112E+000                  4.9891304347826099E-001                  1.7881438289601551E+001                  2.0000000000000000E-099                  2.0000000000000000E-099                  0.0000000000000000E+000                  5.0000000000000000E-001                  0.0000000000000000E+000                  5.0000000000000000E-001                  2.3979640195040222E-099                  2.3979640195040222E-099                                        0                                        4 
