                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r24.08.1"                               "gfortran"                                 "13.3.0"                    "x86_64-linux-24.7.1"                                 "CRMATH"                               "20260406"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                             log_center_T                           log_center_Rho                             log_center_P                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                      921                  2.6462705455768048E+002                  2.4226342428918026E+000                  1.1002646270545577E+000                  3.3340003061198793E+001                 -6.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.6369119159689784E+000                  4.0158151358179053E+000                 -1.7432631031645076E+000                  7.9660909844702719E+000                  0.0000000000000000E+000                  8.3671237658330551E+000                  7.5250556421830588E+000                  2.4669393073757508E+001                  1.7977528089887638E+000                  5.0000000000000000E-001                  1.7777777777777779E+001                  2.0000000000000000E-099                  2.0000000000000000E-099                  0.0000000000000000E+000                  5.0000000000000000E-001                  0.0000000000000000E+000                  5.0000000000000000E-001                  2.1999977119353703E-099                  2.1999977119353703E-099                                        0                                        4 
                                       5                                      452                  1.6106559421913441E+003                  2.5529278129315904E+000                  1.1016106559421914E+000                  3.3340534038584948E+001                 -6.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.6535011473070345E+000                  3.9023344142978753E+000                 -1.8331819266006339E+000                  8.1464596087286765E+000                  0.0000000000000000E+000                  8.3278004537251089E+000                  7.6102087178143156E+000                  2.4787626775666240E+001                  1.7977528089887642E+000                  5.0000000000000000E-001                  1.7777777777777775E+001                  2.0000000000000004E-099                  2.0000000000000004E-099                  0.0000000000000000E+000                  5.0000000000000000E-001                  0.0000000000000000E+000                  5.0000000000000000E-001                  2.2012213908988317E-099                  2.2012213908988317E-099                                        0                                        4 
                                      10                                      443                  3.8796390526573568E+003                  2.7383039823665496E+000                  1.1038796390526573E+000                  3.3341427633260288E+001                 -6.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.6468009448082164E+000                  3.6787245394565034E+000                 -1.9315864590236840E+000                  8.3441622682501162E+000                  0.0000000000000000E+000                  8.2818440955859067E+000                  7.6950843479626299E+000                  2.4905058950525355E+001                  1.7977528089887642E+000                  5.0000000000000000E-001                  1.7777777777777782E+001                  2.0000000000000004E-099                  2.0000000000000004E-099                  0.0000000000000000E+000                  5.0000000000000000E-001                  0.0000000000000000E+000                  5.0000000000000000E-001                  2.2033127077316556E-099                  2.2033127077316556E-099                                        0                                        4 
                                      15                                      435                  8.0684524495610967E+003                  3.0454734541563968E+000                  1.1080684524495610E+000                  3.3343072500719543E+001                 -6.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.6132271352362331E+000                  3.3797903262647218E+000                 -2.0139059464756079E+000                  8.5104461106132199E+000                  0.0000000000000000E+000                  8.2329304591177159E+000                  7.7701721654062847E+000                  2.5008612212002316E+001                  1.7977528089887642E+000                  5.0000000000000000E-001                  1.7777777777777775E+001                  2.0000000000000004E-099                  2.0000000000000004E-099                  0.0000000000000000E+000                  5.0000000000000000E-001                  0.0000000000000000E+000                  5.0000000000000000E-001                  2.2062633839277626E-099                  2.2062633839277626E-099                                        0                                        4 
                                      20                                      439                  1.7779513938619639E+004                  3.4316732041446416E+000                  1.1177795139386195E+000                  3.3346862056197949E+001                 -6.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.5606136714106666E+000                  3.0358452120803192E+000                 -2.0806515759166757E+000                  8.6477269249737674E+000                  0.0000000000000000E+000                  8.1834384278374621E+000                  7.8471006026576955E+000                  2.5114460724763340E+001                  1.7977528089887638E+000                  5.0000000000000000E-001                  1.7777777777777779E+001                  2.0000000000000004E-099                  2.0000000000000004E-099                  0.0000000000000000E+000                  5.0000000000000000E-001                  0.0000000000000000E+000                  5.0000000000000000E-001                  2.2148677845973585E-099                  2.2148677845973585E-099                                        0                                        5 
                                      25                                      433                  4.1907483280746535E+004                  3.8275794343827654E+000                  1.1419074832807463E+000                  3.3356136829394600E+001                 -6.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.5207987992211187E+000                  2.7656193635208091E+000                 -2.1361347558173365E+000                  8.7679680579717392E+000                  0.0000000000000000E+000                  8.1504136648331080E+000                  7.9577453684186361E+000                  2.5266439349465173E+001                  1.7977528089887642E+000                  5.0000000000000000E-001                  1.7777777777777779E+001                  2.0000000000000004E-099                  2.0000000000000004E-099                  0.0000000000000000E+000                  5.0000000000000000E-001                  0.0000000000000000E+000                  5.0000000000000000E-001                  2.2347075921732234E-099                  2.2347075921732234E-099                                        0                                        4 
                                      30                                      435                  9.6570926536112020E+004                  4.1226179649103303E+000                  1.1965709265361117E+000                  3.3376444356803908E+001                 -6.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.5347252474036965E+000                  2.6832182467581540E+000                 -2.2051882105638207E+000                  8.9263824948740158E+000                  0.0000000000000000E+000                  8.1634984110197504E+000                  8.1865741589320464E+000                  2.5579323882341335E+001                  1.7977528089887642E+000                  5.0000000000000000E-001                  1.7777777777777779E+001                  2.0000000000000004E-099                  2.0000000000000004E-099                  0.0000000000000000E+000                  5.0000000000000000E-001                  0.0000000000000000E+000                  5.0000000000000000E-001                  2.2765289882453429E-099                  2.2765289882453429E-099                                        0                                        4 
                                      35                                      434                  1.6322850494606211E+005                  4.0998248852106425E+000                  1.2632285049460619E+000                  3.3399987827393453E+001                 -6.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.5808865522053592E+000                  2.6866783923789672E+000                 -2.2957807473567375E+000                  9.1311110390493884E+000                  0.0000000000000000E+000                  8.2249002258535260E+000                  8.5214175406887858E+000                  2.6033748921803472E+001                  1.7977528089887642E+000                  5.0000000000000000E-001                  1.7777777777777779E+001                  2.0000000000000004E-099                  2.0000000000000004E-099                  0.0000000000000000E+000                  5.0000000000000000E-001                  0.0000000000000000E+000                  5.0000000000000000E-001                  2.3479432361373710E-099                  2.3479432361373710E-099                                        0                                        4 
                                      40                                      436                  2.1635765444256630E+005                  3.9672146927050567E+000                  1.3163576544425664E+000                  3.3417879813504641E+001                 -6.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.6344227395249176E+000                  2.7022242759340904E+000                 -2.3950801802182919E+000                  9.3476018908836860E+000                  0.0000000000000000E+000                  8.3045248522799628E+000                  8.8870701731234494E+000                  2.6526651998987688E+001                  1.7977528089887642E+000                  5.0000000000000000E-001                  1.7777777777777779E+001                  2.0000000000000004E-099                  2.0000000000000004E-099                  0.0000000000000000E+000                  5.0000000000000000E-001                  0.0000000000000000E+000                  5.0000000000000000E-001                  2.4048193959524240E-099                  2.4048193959524240E-099                                        0                                        4 
